level,held_out,n_test,n_classes_test,val_macro_f1,argmax_macro_f1,generic_macro_f1,species_macro_f1,delta_generic,delta_species,argmax_sp_recall,generic_sp_recall,species_sp_recall,argmax_sp_precision,generic_sp_precision,species_sp_precision,argmax_sp_f1,generic_sp_f1,species_sp_f1,argmax_inter_conf,generic_inter_conf,species_inter_conf,sp_n_rows
L1-binary,ECOSS_enhanced,168,2,0.8403354628302712,0.5973856209150327,0.5913273400317293,0.5973856209150327,-0.006058280883303402,0.0,0.993006993006993,0.986013986013986,0.993006993006993,1.0,1.0,1.0,0.9964912280701754,0.9929577464788732,0.9964912280701754,0.0,0.0,0.0,143
L1-binary,ECOSS_testtrain,36044,2,0.8607736241123747,0.5220956195684291,0.5429136622182711,0.5030322718501702,0.020818042649841995,-0.019063347718258905,0.9212598425196851,0.8976377952755905,0.9448818897637795,1.0,1.0,1.0,0.9590163934426229,0.946058091286307,0.97165991902834,0.0,0.0,0.0,127
L1-binary,DOLPHINFREE,3290,2,0.856974836674057,0.6920345906873296,0.72052432652012,0.628869585365982,0.028489735832790353,-0.06316500532134761,0.8443478260869566,0.7547826086956522,0.8939130434782608,1.0,1.0,1.0,0.9156058462989156,0.8602576808721506,0.9439853076216712,0.0,0.0,0.0,1150
L1-binary,FREMANTLE,332,1,0.8667717940236588,0.8783783783783784,0.8591065292096219,0.9060955518945635,-0.01927184916875646,0.02771717351618508,0.7831325301204819,0.7530120481927711,0.8283132530120482,1.0,1.0,1.0,0.8783783783783784,0.8591065292096219,0.9060955518945635,0.0,0.0,0.0,332
L1-binary,DRYAD,6770,2,0.8552035056153116,0.7367286360028241,0.7465049311430405,0.7186173891715213,0.009776295140216384,-0.01811124683130283,0.7870370370370371,0.7534293552812071,0.8082990397805213,1.0,1.0,1.0,0.8808290155440415,0.8593780559358498,0.8939882419874834,0.0,0.0,0.0,2916
L1-binary,DCLDE_2026,174538,2,0.6075714714202537,0.5175956006601818,0.5577676005793775,0.4839015750084901,0.04017199991919562,-0.03369402565169172,0.6752857669616519,0.6185932890855457,0.7145095870206489,1.0,1.0,1.0,0.8061738245247201,0.7643591422957542,0.833485671272649,0.0,0.0,0.0,21696
L1-binary,OLTREMARE,16860,2,0.858853275776879,0.8172487786577964,0.8173938009562911,0.812310203889004,0.00014502229849466808,-0.0049385747687924475,0.6177685950413223,0.609504132231405,0.6460055096418733,1.0,1.0,1.0,0.7637292464878672,0.7573812580231065,0.7849372384937239,0.0,0.0,0.0,2904
L1-binary,MONISH,617,1,0.8462380124924944,0.7212435233160622,0.6927966101694916,0.7446592065106816,-0.028446913146570663,0.023415683194619397,0.5640194489465153,0.5299837925445705,0.593192868719611,1.0,1.0,1.0,0.7212435233160622,0.6927966101694916,0.7446592065106816,0.0,0.0,0.0,617
L1-binary,Adriatic_Sea,1180,2,0.8671859174499745,0.5839035340439835,0.5005294637870042,0.6395968992248062,-0.0833740702569793,0.055693365180822685,0.5063694267515924,0.3874734607218684,0.5870488322717622,1.0,1.0,1.0,0.6723044397463002,0.558530986993114,0.7397993311036789,0.0,0.0,0.0,942
L1-binary,WATKINS,1877,1,0.8388235941489213,0.5769522365428355,0.5126782884310618,0.6162919277552524,-0.06427394811177367,0.03933969121241698,0.4054342035162493,0.34469898774640384,0.44539158231220033,1.0,1.0,1.0,0.5769522365428355,0.5126782884310618,0.6162919277552524,0.0,0.0,0.0,1877
L1-binary,ECOSS_annot,752,2,0.8586371987779655,0.401145394920037,0.39993037889945104,0.38683688756117535,-0.001215016020585935,-0.014308507358861633,0.2811158798283262,0.24892703862660945,0.30042918454935624,1.0,1.0,1.0,0.4388609715242881,0.39862542955326463,0.46204620462046203,0.0,0.0,0.0,466
L1-binary,ALNITAK_CAVANILLES,5202,2,0.8686301029998116,0.5209808051231999,0.5064403348538166,0.518327030815068,-0.014540470269383321,-0.002653774308131851,0.09718969555035128,0.06440281030444965,0.12295081967213115,1.0,1.0,1.0,0.17716115261472787,0.12101210121012101,0.21897810218978103,0.0,0.0,0.0,854
