level,held_out,n_test,n_val_species,n_classes_test,temperature,argmax_macro_f1,temp_macro_f1,vec_macro_f1,pr_thresh_macro_f1,delta_temp,delta_vec,delta_pr_thresh,argmax_sp_recall,temp_sp_recall,vec_sp_recall,pr_thresh_sp_recall,argmax_sp_prec,temp_sp_prec,vec_sp_prec,pr_thresh_sp_prec,argmax_sp_f1,temp_sp_f1,vec_sp_f1,pr_thresh_sp_f1,argmax_inter_conf,vec_inter_conf,pr_thresh_inter_conf,argmax_hallucin,vec_hallucin,pr_thresh_hallucin,sp_n_rows
L2-coarse,DOLPHINFREE,3290,7484,2,1.321,0.6278230525813863,0.6278230525813863,0.5703282732727801,0.7610734957536704,0.0,-0.057494779308606137,0.13325044317228418,0.9495652173913044,0.9495652173913044,0.9643478260869566,0.8965217391304348,1.0,1.0,1.0,1.0,0.9741302408563782,0.9741302408563782,0.981850376272687,0.9454378725355341,0.0,0.0,0.0,0.0,0.0,0.0,1150
L2-coarse,FREMANTLE,332,7165,1,1.232,0.9878048780487805,0.9878048780487805,0.9847094801223242,0.9426751592356688,0.0,-0.0030953979264563003,-0.045129718813111674,0.9759036144578314,0.9759036144578314,0.9698795180722891,0.891566265060241,1.0,1.0,1.0,1.0,0.9878048780487805,0.9878048780487805,0.9847094801223242,0.9426751592356688,0.0,0.0,0.0,0.0,0.0,0.0,332
L2-coarse,DRYAD,6770,6207,2,1.081,0.6827491353906636,0.6827491353906636,0.6711733672912498,0.758826442334239,0.0,-0.011575768099413852,0.0760773069435754,0.8744855967078189,0.8744855967078189,0.877914951989026,0.803840877914952,1.0,1.0,1.0,1.0,0.9330406147091108,0.9330406147091108,0.9349890430971513,0.8912547528517111,0.05281207133058985,0.05727023319615912,0.05589849108367627,0.05281207133058985,0.05727023319615912,0.05589849108367627,2916
L2-coarse,OLTREMARE,16860,7955,2,1.093,0.82194945051896,0.82194945051896,0.8116656655591534,0.8206809169496093,0.0,-0.01028378495980653,-0.0012685335693506383,0.6442837465564738,0.6442837465564738,0.6914600550964187,0.615358126721763,1.0,1.0,1.0,1.0,0.7836649214659686,0.7836649214659686,0.8175895765472313,0.761884459603496,0.001721763085399449,0.0006887052341597796,0.0,0.001721763085399449,0.0006887052341597796,0.0,2904
L2-coarse,DCLDE_2026,174538,5626,2,0.768,0.5715264998779677,0.5715264998779677,0.6042136637144353,0.6250767556473623,0.0,0.032687163836467636,0.05355025576939465,0.5048856932153393,0.5048856932153393,0.5511615044247787,0.46994837758112096,1.0,1.0,1.0,1.0,0.6709954058192955,0.6709954058192955,0.7106436084863612,0.6394080020067728,0.010739306784660767,0.006867625368731563,0.0018897492625368731,0.010739306784660767,0.006867625368731563,0.0018897492625368731,21696
L2-coarse,ECOSS_enhanced,168,7751,2,1.241,0.6344099077221952,0.6344099077221952,0.6361766485178464,0.6344099077221952,0.0,0.0017667407956512005,0.0,0.573006993006993,0.573006993006993,0.5765034965034965,0.573006993006993,1.0,1.0,1.0,1.0,0.6344099077221952,0.6344099077221952,0.6361766485178464,0.6344099077221952,0.125,0.125,0.125,0.125,0.125,0.125,168
L2-coarse,Adriatic_Sea,1180,7177,2,1.097,0.6751700151044746,0.6751700151044746,0.691345025453427,0.515150718983155,0.0,0.016175010348952412,-0.1600192961213196,0.6411889596602972,0.6411889596602972,0.6634819532908705,0.40658174097664546,1.0,1.0,1.0,1.0,0.7813712807244502,0.7813712807244502,0.797702616464582,0.5781132075471698,0.0,0.0010615711252653928,0.0,0.0,0.0010615711252653928,0.0,942
L2-coarse,WATKINS,1877,9405,2,1.216,0.45966453674121405,0.45966453674121405,0.47173489278752434,0.4445357436318817,0.0,0.012070356046310293,-0.01512879310933235,0.4262962962962963,0.4262962962962963,0.44814814814814813,0.40074074074074073,0.4987001733102253,0.4987001733102253,0.49794238683127573,0.49907749077490776,0.45966453674121405,0.45966453674121405,0.47173489278752434,0.4445357436318817,0.13265849760255727,0.1742141715503463,0.12573255194459243,0.12946190729888118,0.16941928609483217,0.12466702184336707,1877
L2-coarse,MONISH,617,8368,2,1.084,0.4492619926199262,0.4492619926199262,0.45128676470588236,0.42300194931773877,0.0,0.002024772085956139,-0.026260043302187452,0.4141156462585034,0.4141156462585034,0.4175170068027211,0.36904761904761907,0.4909274193548387,0.4909274193548387,0.491,0.4954337899543379,0.4492619926199262,0.4492619926199262,0.45128676470588236,0.42300194931773877,0.12965964343598055,0.12965964343598055,0.0713128038897893,0.11507293354943274,0.11507293354943274,0.06482982171799027,617
L2-coarse,ECOSS_annot,752,7343,2,1.065,0.20973782771535582,0.20973782771535582,0.2109181141439206,0.20161290322580644,0.0,0.0011802864285647696,-0.008124924489549379,0.18025751072961374,0.18025751072961374,0.18240343347639484,0.13412017167381973,0.2507462686567164,0.2507462686567164,0.25,0.40584415584415584,0.20973782771535582,0.20973782771535582,0.2109181141439206,0.20161290322580644,0.22739361702127658,0.23670212765957446,0.03856382978723404,0.0,0.005319148936170213,0.0,752
L2-coarse,ALNITAK_CAVANILLES,5202,7085,2,1.202,0.5134134767478646,0.5134134767478646,0.5152964577529591,0.50044668072245,0.0,0.0018829810050944307,-0.012966796025414618,0.08313817330210772,0.08313817330210772,0.09133489461358314,0.05620608899297424,1.0,1.0,1.0,1.0,0.1535135135135135,0.1535135135135135,0.16738197424892703,0.10643015521064302,0.01288056206088993,0.00819672131147541,0.00819672131147541,0.01288056206088993,0.00819672131147541,0.00819672131147541,854
L2-coarse,ECOSS_testtrain,36044,4475,3,1.223,0.05689306953109518,0.05689306953109518,0.057813546708143065,0.05774720381164478,0.0,0.0009204771770478862,0.0008541342805496038,0.46865281299417744,0.46865281299417744,0.472932235636691,0.44100443228428515,0.50682261208577,0.50682261208577,0.4910845056030519,0.5104614235008407,0.013747030431366934,0.013747030431366934,0.01242214456638026,0.02055704281011358,0.25528001898433794,0.30413502610346466,0.1554639297579497,0.00011865211200759374,0.00029663028001898433,0.0,33712
